icon_name,category,tabler_equivalent,match_quality,notes
OBJ,Components,box,Close,Generic object
SAP,Brand,brand-sap,Custom,Keep as custom logo
SOAP,Brand,api,Close,Or custom
TXT,File types,file-type-txt,Direct,
XML,File types,file-type-xml,Direct,
account,Universal UI,user-circle,Direct,
account-key,Universal UI,user-shield,Close,Tabler has user-shield/user-cog; Material's 'account+key' combo is custom
add,Universal UI,plus,Direct,
adhoc,BI-specific,table-options,Close,Ad-hoc query/table
ai-assistant,Universal UI,sparkles,Direct,Or 'wand' / 'brand-openai'
alert,Status,alert-triangle,Direct,
alert-circle,Status,alert-circle,Direct,
align-bottom,Layout,layout-align-bottom,Direct,
align-center,Layout,layout-align-center,Direct,
align-left,Layout,layout-align-left,Direct,
align-middle,Layout,layout-align-middle,Direct,
align-right,Layout,layout-align-right,Direct,
align-text-bottom,Layout,align-box-bottom-center,Close,
align-text-center,Text formatting,align-center,Direct,
align-text-left,Text formatting,align-left,Direct,
align-text-middle,Text formatting,align-center,Close,Vertical center variant
align-text-right,Text formatting,align-right,Direct,
align-text-top,Text formatting,align-box-top-center,Close,
align-top,Layout,layout-align-top,Direct,
annotation,Annotation,message-circle,Direct,
annotation-empty,Annotation,message,Close,Empty bubble
annotation-no,Annotation,message-off,Direct,
annotation-outline,Annotation,message-2,Close,
archive,Universal UI,archive,Direct,
archive-open,Universal UI,archive,Close,Tabler archive is closed; open variant custom
arrow-left-circle-outline,Navigation,arrow-left-circle,Direct,
arrow-left-circle-outline-skip,Navigation,player-skip-back,Close,
arrow-right-circle-outline,Navigation,arrow-right-circle,Direct,
arrow-right-circle-outline-skip,Navigation,player-skip-forward,Close,
assets,BI-specific,box-multiple,Close,Generic 'assets' — could also use 'apps'
auditing,BI-specific,clipboard-check,Close,
auto-chart-type,BI-specific,wand,Close,'Auto' magic — pair w/ chart icon
auto-complete,BI-specific,text-suggestion,Close,
auto-complete-click,BI-specific,cursor-text,Close,Custom — autocomplete with click
auto-fix,Universal UI,wand,Direct,
auto-join,Data model,affiliate,Close,Custom — auto join indicator
auto-reload,Universal UI,rotate-clockwise-2,Close,Refresh + auto badge
axis,BI-specific,axis-x,Direct,Or axis-y
axis-dimension,BI-specific,axis-x,Close,Custom — axis w/ dimension marker
backward,Navigation,player-track-prev,Direct,
backward-fast,Navigation,player-skip-back,Direct,
bare-arrow-down,Navigation,chevron-down,Direct,
bare-arrow-left,Navigation,chevron-left,Direct,
bare-arrow-right,Navigation,chevron-right,Direct,
bare-arrow-up,Navigation,chevron-up,Direct,
book,Universal UI,book,Direct,
bookmark,Bookmarks,bookmark,Direct,
bookmark-default,Bookmarks,bookmark-filled,Direct,
bookmark-folder,Bookmarks,folder-star,Close,Custom — bookmark folder
bookmark-home,Bookmarks,home-bookmark,Close,Custom variant
bookmark-set-default,Bookmarks,bookmark-plus,Close,
books,Universal UI,books,Direct,
boolean-field,Field types,toggle-left,Close,Custom — boolean badge
border-bottom,Format,border-bottom,Direct,
border-left,Format,border-left,Direct,
border-right,Format,border-right,Direct,
border-top,Format,border-top,Direct,
brush,Format,brush,Direct,
brush-no,Format,brush-off,Direct,
button,Components,square-rounded,Close,UI element — custom
calculated-detail-field,Field types,math-function,Close,Custom
calculated-sum-field,Field types,sigma,Close,Custom — sum field
calendar,Calendar,calendar,Direct,
calendar-double,Calendar,calendar-stats,Close,Custom — 2 calendars
calendar-minus,Calendar,calendar-minus,Direct,
calendar-plus,Calendar,calendar-plus,Direct,
cancel,Universal UI,ban,Direct,
card-text-outline,Universal UI,article,Close,
chart,Chart types,chart-bar,Direct,Generic chart
chart-3D-bar,Chart types,chart-bar,Custom,No 3D variant
chart-3D-bar-stacked,Chart types,chart-bar,Custom,No 3D variant in Tabler
chart-3D-pie,Chart types,chart-pie-3,Close,Tabler has chart-pie-2/3
chart-area,Chart types,chart-area,Direct,
chart-area-stacked,Chart types,chart-area-line,Close,Custom — stacked area
chart-bar,Chart types,chart-bar,Direct,
chart-bar-stacked,Chart types,chart-bar,Custom,Tabler has no stacked-bar; custom
chart-boxplot,Chart types,chart-candle,Custom,"Closest, but boxplot is distinct"
chart-bubble,Chart types,chart-bubble,Direct,
chart-bullet,Chart types,chart-bullet,Custom,Not in Tabler — custom
chart-candle,Chart types,chart-candle,Direct,
chart-circle-network,Chart types,affiliate,Custom,Network/graph — custom
chart-circle-pack,Chart types,circles,Custom,Custom
chart-donut,Chart types,chart-donut,Direct,
chart-funnel,Chart types,chart-funnel,Direct,
chart-gantt,Chart types,chart-gantt,Custom,Tabler may not have; verify
chart-icicle,Chart types,layout-board,Custom,Custom
chart-interval,Chart types,chart-arcs-3,Custom,Custom
chart-jump,Chart types,chart-dots,Custom,Custom
chart-line,Chart types,chart-line,Direct,
chart-line-stacked,Chart types,chart-line,Custom,Custom — stacked line
chart-map,Chart types,map-2,Close,
chart-map-contour,Chart types,topology-star,Custom,Custom
chart-mekko,Chart types,chart-mekko,Custom,Not in Tabler — custom
chart-multi-style,Chart types,chart-grid-dots,Custom,Custom
chart-network,Chart types,affiliate,Custom,Or use 'graph'
chart-pareto,Chart types,chart-bar-popular,Close,Bar + line
chart-pie,Chart types,chart-pie,Direct,
chart-radar,Chart types,chart-radar,Direct,
chart-radar-filled,Chart types,chart-radar,Custom,Tabler radar is outline only; filled = custom
chart-scatter-contour,Chart types,chart-dots,Custom,Custom
chart-scattered,Chart types,chart-dots,Close,
chart-scattered-stacked,Chart types,chart-dots,Custom,Custom
chart-size,Chart types,chart-bubble,Close,Sizing glyph — custom
chart-step,Chart types,chart-line,Custom,Step variant — custom
chart-step-area,Chart types,chart-area,Custom,Custom
chart-step-area-stacked,Chart types,chart-area,Custom,Custom
chart-step-stacked,Chart types,chart-line,Custom,Custom
chart-stock,Chart types,chart-candle,Close,
chart-sunburst,Chart types,chart-arcs,Close,Tabler chart-arcs is closest
chart-tree,Chart types,binary-tree,Close,Or 'hierarchy'
chart-treemap,Chart types,chart-treemap,Direct,
chart-waterfall,Chart types,chart-bar,Custom,Waterfall — custom
checkbox,Selection,square-check,Direct,
checkbox-blank-circle,Selection,circle,Direct,
chevron-circle-arrow-down,Navigation,circle-chevron-down,Direct,
chevron-circle-arrow-left,Navigation,circle-chevron-left,Direct,
chevron-circle-arrow-right,Navigation,circle-chevron-right,Direct,
chevron-circle-arrow-up,Navigation,circle-chevron-up,Direct,
chevron-circle-up-down,Navigation,circle-arrows-vertical,Close,
clock,Universal UI,clock,Direct,
close,Universal UI,x,Direct,
close-circle,Universal UI,circle-x,Direct,
code-tags-check,Code,code,Close,Code + check — close enough
collapse,Layout,layout-sidebar-left-collapse,Close,Or 'arrows-minimize'
color-fill,Format,color-swatch,Close,Or 'paint-filled'
column,Data model,columns-3,Direct,
