Data Source,Category,Has Built-In Structure,Notes
Salesforce Reports and Dashboards,App/API Connector,Yes,"Predefined reports, dashboards, folders, and related Salesforce analytics objects."
HubSpot,App/API Connector,Yes,"Predefined CRM and marketing-style objects/endpoints."
Jira,App/API Connector,Yes,"Predefined issue, project, and workflow-oriented objects/endpoints."
Shopify,App/API Connector,Yes,"Predefined commerce objects such as orders, products, and customers."
Stripe,App/API Connector,Yes,"Predefined payments and billing-related objects/endpoints."
Zendesk,App/API Connector,Yes,"Predefined support and ticketing-oriented objects/endpoints."
QuickBooks,App/API Connector,Yes,"Predefined financial/reporting-oriented objects/endpoints."
Mailchimp,App/API Connector,Yes,"Predefined campaign, audience, and marketing-oriented objects/endpoints."
GitHub,App/API Connector,Yes,"Predefined repository, issue, pull request, and related objects/endpoints."
Zoho CRM,App/API Connector,Yes,"Predefined CRM-style objects/endpoints."
ServiceNow,App/API Connector,Yes,"Predefined service management and platform objects/endpoints."
YouTube Analytics,App/API Connector,Yes,"Predefined analytics/reporting-oriented objects/endpoints."
Adobe Analytics,App/API Connector,Yes,"Predefined analytics/reporting-oriented objects/endpoints."
Mixpanel,App/API Connector,Yes,"Predefined event and analytics-oriented objects/endpoints."
Smartsheet,App/API Connector,Yes,"Predefined sheet/workspace/report-oriented objects/endpoints."
Xero,App/API Connector,Yes,"Predefined accounting and finance-related objects/endpoints."
Pipedrive,App/API Connector,Yes,"Predefined CRM and pipeline-oriented objects/endpoints."
SurveyMonkey,App/API Connector,Yes,"Predefined survey and response-oriented objects/endpoints."
Square,App/API Connector,Yes,"Predefined commerce and payments-oriented objects/endpoints."
Twilio,App/API Connector,Yes,"Predefined messaging/communications-oriented objects/endpoints."
MySQL,JDBC Database,No,"Schema depends on the customer's own tables and columns."
Snowflake,JDBC Database,No,"Schema depends on the customer's own tables and columns."
PostgreSQL,JDBC Database,No,"Schema depends on the customer's own tables and columns."
SQL Server,JDBC Database,No,"Schema depends on the customer's own tables and columns."
Oracle,JDBC Database,No,"Schema depends on the customer's own tables and columns."
DB2,JDBC Database,No,"Schema depends on the customer's own tables and columns."
MariaDB,JDBC Database,No,"Schema depends on the customer's own tables and columns."
SQLite,JDBC Database,No,"Schema depends on the customer's own tables and columns."
Amazon Redshift,JDBC Database,No,"Schema depends on the customer's own tables and columns."
Databricks,JDBC Database,No,"Schema depends on the customer's own tables and columns."
BigQuery,JDBC Database,No,"Schema depends on the customer's own tables and columns."
ClickHouse,JDBC Database,No,"Schema depends on the customer's own tables and columns."
Dremio,JDBC Database,No,"Schema depends on the customer's own tables and columns."
Presto,JDBC Database,No,"Schema depends on the customer's own tables and columns."
Teradata,JDBC Database,No,"Schema depends on the customer's own tables and columns."
SAP HANA,JDBC Database,No,"Schema depends on the customer's own tables and columns."
